iter	Passed	Remaining
421	2267	3105
422	2272	3099
423	2277	3094
424	2283	3088
425	2287	3082
426	2293	3077
427	2298	3072
428	2304	3066
429	2309	3061
430	2315	3056
431	2320	3050
432	2325	3044
433	2330	3038
434	2336	3034
435	2341	3028
436	2346	3023
437	2351	3017
438	2357	3012
439	2362	3007
440	2368	3001
441	2373	2996
442	2379	2991
443	2384	2986
444	2390	2980
445	2395	2975
446	2400	2969
447	2405	2963
448	2410	2957
449	2415	2951
450	2420	2946
451	2425	2940
452	2430	2934
453	2436	2930
454	2441	2924
455	2447	2919
456	2452	2913
457	2456	2907
458	2461	2901
459	2466	2895
460	2472	2890
461	2477	2884
462	2481	2878
463	2487	2873
464	2492	2867
465	2497	2861
466	2502	2855
467	2507	2849
468	2511	2844
469	2517	2838
470	2522	2833
471	2528	2828
472	2534	2823
473	2538	2817
474	2544	2812
475	2549	2806
476	2554	2800
477	2559	2795
478	2564	2789
479	2569	2783
480	2574	2778
481	2579	2772
482	2584	2766
483	2589	2761
484	2595	2755
485	2600	2750
486	2605	2744
487	2610	2739
488	2616	2733
489	2621	2728
490	2626	2723
491	2632	2717
492	2637	2711
493	2642	2706
494	2647	2701
495	2652	2695
496	2657	2689
497	2662	2684
498	2667	2678
499	2673	2673
500	2679	2668
501	2683	2662
502	2689	2657
503	2694	2651
504	2699	2646
505	2704	2640
506	2710	2635
507	2715	2629
508	2720	2624
509	2725	2619
510	2731	2613
511	2736	2608
512	2742	2603
513	2747	2597
514	2752	2592
515	2757	2586
516	2762	2580
517	2767	2575
518	2773	2569
519	2778	2564
520	2783	2559
521	2789	2553
522	2794	2548
523	2799	2543
524	2804	2537
525	2810	2532
526	2815	2527
527	2820	2521
528	2825	2515
529	2830	2510
530	2836	2505
531	2842	2500
532	2847	2494
533	2852	2489
534	2857	2483
535	2862	2478
536	2868	2472
537	2873	2467
538	2878	2462
539	2884	2456
540	2889	2451
541	2894	2446
542	2900	2440
543	2905	2435
544	2910	2430
545	2915	2424
546	2920	2418
547	2925	2413
548	2930	2407
549	2936	2402
550	2941	2397
551	2946	2391
552	2952	2386
553	2957	2381
554	2962	2375
555	2967	2369
556	2973	2364
557	2978	2359
558	2984	2354
559	2990	2349
560	2995	2344
561	3000	2338
562	3005	2332
563	3010	2327
564	3015	2321
565	3021	2316
566	3026	2311
567	3032	2306
568	3038	2301
569	3044	2296
570	3050	2291
571	3056	2286
572	3061	2281
573	3067	2276
574	3072	2271
575	3078	2265
576	3084	2261
577	3089	2255
578	3094	2250
579	3101	2245
580	3107	2240
581	3112	2235
582	3119	2231
583	3125	2226
584	3130	2220
585	3136	2216
586	3142	2210
587	3147	2205
588	3153	2200
589	3159	2195
590	3165	2190
591	3170	2185
592	3175	2179
593	3182	2175
594	3187	2169
595	3192	2164
596	3198	2159
597	3203	2153
598	3208	2147
599	3214	2142
600	3219	2137
601	3224	2131
602	3230	2126
603	3236	2121
604	3241	2116
605	3247	2111
606	3252	2106
607	3258	2101
608	3264	2095
609	3270	2090
610	3276	2085
611	3282	2081
612	3287	2075
613	3293	2070
614	3298	2064
615	3304	2059
616	3310	2054
617	3315	2049
618	3321	2044
619	3326	2038
620	3332	2033
621	3338	2029
622	3344	2023
623	3350	2018
624	3355	2013
625	3360	2007
626	3366	2002
627	3372	1997
628	3377	1992
629	3383	1987
630	3389	1981
631	3394	1976
632	3399	1971
633	3405	1965
634	3410	1960
635	3416	1955
636	3421	1949
637	3427	1944
638	3433	1939
639	3438	1934
640	3444	1929
641	3450	1924
642	3455	1918
643	3461	1913
644	3466	1907
645	3472	1902
646	3478	1897
647	3483	1892
648	3488	1886
649	3494	1881
650	3499	1876
651	3504	1870
652	3510	1865
653	3516	1860
654	3522	1855
655	3527	1850
656	3533	1844
657	3539	1839
658	3545	1834
659	3550	1829
660	3555	1823
661	3563	1819
662	3568	1813
663	3574	1808
664	3579	1803
665	3584	1797
666	3590	1792
667	3595	1787
668	3601	1781
669	3606	1776
670	3612	1771
671	3617	1765
672	3622	1760
673	3628	1754
674	3633	1749
675	3638	1743
676	3644	1738
677	3649	1733
678	3655	1728
679	3661	1722
680	3667	1717
681	3673	1712
682	3678	1707
683	3684	1702
684	3690	1697
685	3695	1691
686	3701	1686
687	3707	1681
688	3712	1675
689	3718	1670
690	3724	1665
691	3729	1659
692	3735	1654
693	3741	1649
694	3747	1644
695	3752	1638
696	3757	1633
697	3763	1628
698	3768	1622
699	3774	1617
700	3779	1612
701	3784	1606
702	3789	1601
703	3795	1595
704	3800	1590
705	3805	1584
706	3811	1579
707	3817	1574
708	3823	1569
709	3829	1563
710	3834	1558
711	3840	1553
712	3846	1548
713	3851	1542
714	3857	1537
715	3863	1532
716	3869	1527
717	3875	1522
718	3881	1517
719	3887	1511
720	3892	1506
721	3898	1501
722	3904	1495
723	3909	1490
724	3914	1484
725	3920	1479
726	3926	1474
727	3931	1468
728	3937	1463
729	3942	1458
730	3947	1452
731	3953	1447
732	3958	1442
733	3964	1436
734	3970	1431
735	3976	1426
736	3981	1420
737	3986	1415
738	3991	1409
739	3997	1404
740	4002	1399
741	4008	1393
742	4013	1388
743	4018	1382
744	4023	1377
745	4029	1372
746	4035	1366
747	4042	1361
748	4047	1356
749	4053	1351
750	4059	1345
751	4065	1340
752	4071	1335
753	4076	1330
754	4082	1324
755	4088	1319
756	4093	1314
757	4099	1308
758	4104	1303
759	4109	1297
760	4114	1292
761	4120	1287
762	4126	1281
763	4132	1276
764	4138	1271
765	4143	1265
766	4149	1260
767	4154	1255
768	4160	1249
769	4165	1244
770	4171	1238
771	4176	1233
772	4181	1228
773	4186	1222
774	4192	1217
775	4197	1211
776	4203	1206
777	4208	1200
778	4213	1195
779	4219	1190
780	4224	1184
781	4230	1179
782	4236	1174
783	4241	1168
784	4247	1163
785	4252	1157
786	4258	1152
787	4264	1147
788	4269	1141
789	4275	1136
790	4280	1131
791	4286	1125
792	4292	1120
793	4297	1115
794	4303	1109
795	4308	1104
796	4316	1099
797	4323	1094
798	4332	1089
799	4341	1085
800	4349	1080
801	4361	1076
802	4373	1072
803	4381	1068
804	4392	1063
805	4402	1059
806	4413	1055
807	4426	1051
808	4436	1047
809	4442	1042
810	4448	1036
811	4453	1031
812	4458	1025
813	4464	1020
814	4470	1014
815	4475	1009
816	4480	1003
817	4485	998
818	4491	992
819	4497	987
820	4502	981
821	4507	976
822	4512	970
823	4518	965
824	4523	959
825	4528	954
826	4534	948
827	4539	943
828	4545	937
829	4550	932
830	4556	926
831	4562	921
832	4569	916
833	4575	910
834	4582	905
835	4588	900
836	4594	894
837	4601	889
838	4607	884
839	4613	878
840	4620	873
841	4626	868
842	4632	862
843	4638	857
844	4645	852
845	4652	846
846	4658	841
847	4665	836
848	4671	830
849	4678	825
850	4684	820
851	4690	814
852	4696	809
853	4703	804
854	4709	798
855	4715	793
856	4721	787
857	4727	782
858	4734	777
859	4741	771
860	4747	766
861	4754	761
862	4760	755
863	4766	750
864	4773	744
865	4779	739
866	4785	734
867	4792	728
868	4799	723
869	4805	718
870	4811	712
871	4818	707
872	4825	702
873	4832	696
874	4838	691
875	4844	685
876	4851	680
877	4857	674
878	4863	669
879	4869	664
880	4876	658
881	4882	653
882	4888	647
883	4895	642
884	4901	636
885	4907	631
886	4912	625
887	4918	620
888	4925	614
889	4931	609
890	4937	604
891	4945	598
892	4952	593
893	4958	587
894	4965	582
895	4972	577
896	4978	571
897	4984	566
898	4989	560
899	4996	555
900	5002	549
901	5008	544
902	5019	539
903	5031	534
904	5044	529
905	5056	524
906	5070	519
907	5085	515
908	5097	510
909	5111	505
910	5121	500
911	5133	495
912	5152	490
913	5160	485
914	5166	479
915	5173	474
916	5180	468
917	5187	463
918	5193	457
919	5199	452
920	5206	446
921	5212	440
922	5218	435
923	5225	429
924	5232	424
925	5239	418
926	5244	413
927	5250	407
928	5255	401
929	5260	395
930	5265	390
931	5271	384
932	5276	378
933	5281	373
934	5286	367
935	5292	361
936	5298	356
937	5303	350
938	5309	344
939	5315	339
940	5321	333
941	5327	327
942	5332	322
943	5337	316
944	5343	310
945	5348	305
946	5353	299
947	5358	293
948	5364	288
949	5370	282
950	5376	277
951	5381	271
952	5386	265
953	5391	259
954	5397	254
955	5402	248
956	5408	243
957	5414	237
958	5420	231
959	5425	226
960	5430	220
961	5437	214
962	5442	209
963	5448	203
964	5454	197
965	5459	192
966	5464	186
967	5470	180
968	5475	175
969	5481	169
970	5487	163
971	5493	158
972	5498	152
973	5504	146
974	5509	141
975	5514	135
976	5520	129
977	5526	124
978	5532	118
979	5538	113
980	5544	107
981	5549	101
982	5554	96
983	5560	90
984	5566	84
985	5571	79
986	5577	73
987	5582	67
988	5588	62
989	5594	56
990	5600	50
991	5605	45
992	5610	39
993	5615	33
994	5621	28
995	5627	22
996	5633	16
997	5638	11
998	5644	5
999	5649	0
